SeriesCode,SeriesDescription,GeoAreaName,TimePeriod,Value
Poverty,Proportion of population below international poverty line (%),Albania,2002,2
Poverty,Proportion of population below international poverty line (%),Albania,2005,1.1
Poverty,Proportion of population below international poverty line (%),Albania,2008,0.4
Poverty,Proportion of population below international poverty line (%),Albania,2012,1.1
Poverty,Proportion of population below international poverty line (%),Algeria,2011,0.5
Poverty,Proportion of population below international poverty line (%),Angola,2000,32.3
Poverty,Proportion of population below international poverty line (%),Angola,2008,30.1
Poverty,Proportion of population below international poverty line (%),Azerbaijan,2001,2.7
Poverty,Proportion of population below international poverty line (%),Azerbaijan,2002,0
Poverty,Proportion of population below international poverty line (%),Azerbaijan,2003,0
Poverty,Proportion of population below international poverty line (%),Azerbaijan,2004,0
Poverty,Proportion of population below international poverty line (%),Azerbaijan,2005,0
Poverty,Proportion of population below international poverty line (%),Argentina,2000,5.7
Poverty,Proportion of population below international poverty line (%),Argentina,2001,9.4
Poverty,Proportion of population below international poverty line (%),Argentina,2002,14
Poverty,Proportion of population below international poverty line (%),Argentina,2003,7
Poverty,Proportion of population below international poverty line (%),Argentina,2004,5.4
Poverty,Proportion of population below international poverty line (%),Argentina,2005,3.9
Poverty,Proportion of population below international poverty line (%),Argentina,2006,3.3
Poverty,Proportion of population below international poverty line (%),Argentina,2007,2.9
Poverty,Proportion of population below international poverty line (%),Argentina,2008,2.6
Poverty,Proportion of population below international poverty line (%),Argentina,2009,2.6
Poverty,Proportion of population below international poverty line (%),Argentina,2010,1.1
Poverty,Proportion of population below international poverty line (%),Argentina,2011,0.9
Poverty,Proportion of population below international poverty line (%),Argentina,2012,0.8
Poverty,Proportion of population below international poverty line (%),Argentina,2013,0.8
Poverty,Proportion of population below international poverty line (%),Argentina,2014,0.7
Poverty,Proportion of population below international poverty line (%),Argentina,2016,0.6
Poverty,Proportion of population below international poverty line (%),Argentina,2017,0.4
Poverty,Proportion of population below international poverty line (%),Australia,2001,0.7
Poverty,Proportion of population below international poverty line (%),Australia,2003,1
Poverty,Proportion of population below international poverty line (%),Australia,2004,0.7
Poverty,Proportion of population below international poverty line (%),Australia,2008,0.5
Poverty,Proportion of population below international poverty line (%),Australia,2010,0.5
Poverty,Proportion of population below international poverty line (%),Australia,2014,0.7
Poverty,Proportion of population below international poverty line (%),Austria,2003,0.2
Poverty,Proportion of population below international poverty line (%),Austria,2004,0
Poverty,Proportion of population below international poverty line (%),Austria,2005,0.2
Poverty,Proportion of population below international poverty line (%),Austria,2006,0
Poverty,Proportion of population below international poverty line (%),Austria,2007,0.5
Poverty,Proportion of population below international poverty line (%),Austria,2008,0.5
Poverty,Proportion of population below international poverty line (%),Austria,2009,0.5
Poverty,Proportion of population below international poverty line (%),Austria,2010,0.5
Poverty,Proportion of population below international poverty line (%),Austria,2011,0.5
Poverty,Proportion of population below international poverty line (%),Austria,2012,0.5
Poverty,Proportion of population below international poverty line (%),Austria,2013,0.2
Poverty,Proportion of population below international poverty line (%),Austria,2014,0.2
Poverty,Proportion of population below international poverty line (%),Austria,2015,0.7
Poverty,Proportion of population below international poverty line (%),Bangladesh,2000,34.8
Poverty,Proportion of population below international poverty line (%),Bangladesh,2005,25.7
Poverty,Proportion of population below international poverty line (%),Bangladesh,2010,19.6
Poverty,Proportion of population below international poverty line (%),Bangladesh,2016,14.8
Poverty,Proportion of population below international poverty line (%),Armenia,2001,19.3
Poverty,Proportion of population below international poverty line (%),Armenia,2002,15.1
Poverty,Proportion of population below international poverty line (%),Armenia,2003,11.4
Poverty,Proportion of population below international poverty line (%),Armenia,2004,7.9
Poverty,Proportion of population below international poverty line (%),Armenia,2005,4.5
Poverty,Proportion of population below international poverty line (%),Armenia,2006,3.2
Poverty,Proportion of population below international poverty line (%),Armenia,2007,2.8
Poverty,Proportion of population below international poverty line (%),Armenia,2008,1.4
Poverty,Proportion of population below international poverty line (%),Armenia,2009,1.9
Poverty,Proportion of population below international poverty line (%),Armenia,2010,1.9
Poverty,Proportion of population below international poverty line (%),Armenia,2011,2.2
Poverty,Proportion of population below international poverty line (%),Armenia,2012,1.6
