SeriesCode,GeoAreaName,TimePeriod,values
Land Degredation,Afghanistan,2015,0.08247422680412371
Land Degredation,Albania,2015,0.08247422680412371
Land Degredation,Algeria,2015,0.010309278350515464
Land Degredation,American Samoa,2015,
Land Degredation,Andorra,2015,
Land Degredation,Angola,2015,0.20618556701030927
Land Degredation,Anguilla,2015,
Land Degredation,Antigua and Barbuda,2015,
Land Degredation,Argentina,2015,0.4020618556701031
Land Degredation,Armenia,2015,0.020618556701030927
Land Degredation,Aruba,2015,
Land Degredation,Australia,2015,
Land Degredation,Austria,2015,
Land Degredation,Azerbaijan,2015,
Land Degredation,Bahamas,2015,
Land Degredation,Bahrain,2015,
Land Degredation,Bangladesh,2015,0.6701030927835051
Land Degredation,Barbados,2015,
Land Degredation,Belarus,2015,0.010309278350515464
Land Degredation,Belgium,2015,0.1134020618556701
Land Degredation,Belize,2015,0.8350515463917526
Land Degredation,Benin,2015,0.5463917525773195
Land Degredation,Bermuda,2015,
Land Degredation,Bhutan,2015,0.10309278350515463
Land Degredation,Bolivia,2015,0.18556701030927836
Land Degredation,Bosnia and Herzegovina,2015,0.041237113402061855
Land Degredation,Botswana,2015,0.5257731958762887
Land Degredation,Brazil,2015,0.27835051546391754
Land Degredation,British Indian Ocean Territory,2015,
Land Degredation,British Virgin Islands,2015,
Land Degredation,Brunei,2015,
Land Degredation,Bulgaria,2015,
Land Degredation,Burkina Faso,2015,0.1958762886597938
Land Degredation,Burundi,2015,0.29896907216494845
Land Degredation,Cambodia,2015,0.3402061855670103
Land Degredation,Cameroon,2015,0.0
Land Degredation,Canada,2015,
Land Degredation,Cape Verde,2015,0.17525773195876287
Land Degredation,Cayman Islands,2015,
Land Degredation,Central African Republic,2015,0.13402061855670103
Land Degredation,Chad,2015,0.35051546391752575
Land Degredation,Chile,2015,0.010309278350515464
Land Degredation,China,2015,0.27835051546391754
Land Degredation,Christmas Island,2015,
Land Degredation,Cocos [Keeling] Islands,2015,
Land Degredation,Colombia,2015,0.07216494845360824
Land Degredation,Comoros,2015,0.2268041237113402
Land Degredation,Congo [DRC],2015,0.10309278350515463
Land Degredation,Cook Islands,2015,
Land Degredation,Costa Rica,2015,0.09278350515463918
Land Degredation,Croatia,2015,
Land Degredation,Cuba,2015,
Land Degredation,Cyprus,2015,0.1958762886597938
Land Degredation,Czech Republic,2015,0.061855670103092786
Land Degredation,Denmark,2015,
Land Degredation,Djibouti,2015,
Land Degredation,Dominica,2015,
Land Degredation,Dominican Republic,2015,
Land Degredation,Ecuador,2015,0.30927835051546393
Land Degredation,Egypt,2015,0.010309278350515464
Land Degredation,El Salvador,2015,0.16494845360824742
Land Degredation,Equatorial Guinea,2015,0.1958762886597938
Land Degredation,Eritrea,2015,0.36082474226804123
Land Degredation,Estonia,2015,
Land Degredation,Ethiopia,2015,0.29896907216494845
Land Degredation,Falkland Islands [Islas Malvinas],2015,
Land Degredation,Faroe Islands,2015,
Land Degredation,Fiji,2015,
Land Degredation,Finland,2015,0.010309278350515464
Land Degredation,France,2015,0.12371134020618557
Land Degredation,French Guiana,2015,
Land Degredation,French Polynesia,2015,
Land Degredation,French Polynesia,2015,
Land Degredation,French Southern Territories,2015,
Land Degredation,Gabon,2015,0.16494845360824742
Land Degredation,Gambia,2015,0.14432989690721648
Land Degredation,Georgia,2015,0.061855670103092786
Land Degredation,Germany,2015,
Land Degredation,Ghana,2015,0.14432989690721648
Land Degredation,Gibraltar,2015,
Land Degredation,Greece,2015,0.16494845360824742
Land Degredation,Greenland,2015,
Land Degredation,Grenada,2015,
Land Degredation,Guadeloupe,2015,
Land Degredation,Guam,2015,
Land Degredation,Guatemala,2015,0.24742268041237114
Land Degredation,Guernsey,2015,
Land Degredation,Guinea,2015,0.1134020618556701
Land Degredation,Guinea-Bissau,2015,0.15463917525773196
Land Degredation,Guyana,2015,0.16494845360824742
Land Degredation,Haiti,2015,
Land Degredation,Heard Island and McDonald Islands,2015,
Land Degredation,Honduras,2015,
Land Degredation,Hong Kong,2015,
Land Degredation,Hungary,2015,0.13402061855670103
Land Degredation,Iceland,2015,
Land Degredation,India,2015,0.30927835051546393
Land Degredation,Indonesia,2015,0.21649484536082475
